query_id,query_text,num_joins,num_filters,num_tables,query_length,has_groupby,has_orderby,uses_index,estimated_rows,estimated_filtered_rows,execution_time
12,"SELECT country, COUNT(*), GROUP_CONCAT(SUBSTRING(email, 1, 5)) FROM Customers GROUP BY country LIMIT 100",0,0,1,104,1,0,0,10000.0,10000.0,15.3119
13,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city, P.name, P.category FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE O.order_date >= '2024-11-05' ORDER BY P.price DESC",2,1,3,247,0,1,1,50000.0,25000.0,141.1243
14,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id WHERE C.city = 'Aaronbury' LIMIT 25,1,1,2,99,0,0,1,50000.0,50000.0,11.6842
15,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE C.state = 'Idaho' OR O.status = 'Shipped' OR P.price >= 746.0 OR C.city = 'Aaronstad' ORDER BY P.price ASC LIMIT 10,2,4,3,224,0,1,1,50000.0,50000.0,98.0102
16,"SELECT id, description, rating, stock_quantity FROM Products WHERE price >= 1744.81 OR rating >= 2.9",0,2,1,100,0,0,0,4825.0,2680.2875,2.9422
17,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city FROM Orders O JOIN Customers C ON O.customer_id = C.id WHERE C.state = 'Tennessee' LIMIT 250",1,1,2,169,0,0,1,50000.0,5000.0,9.3615
18,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id WHERE O.order_date <= '2024-08-13' AND O.total_amount > 272.23 AND C.city = 'Aaronborough' ORDER BY C.last_name ASC,1,3,2,179,0,1,1,50000.0,1665.0000000000002,0.1678
19,"SELECT status, COUNT(*), SUM(total_amount), AVG(total_amount) FROM Orders GROUP BY status",0,0,1,89,1,0,0,50000.0,50000.0,17.0897
20,SELECT * FROM Customers,0,0,1,23,0,0,0,10000.0,10000.0,13.6305
21,SELECT * FROM Orders O JOIN Products P ON O.product_id = P.id WHERE P.price <= 314.83 OR P.rating >= 4.1 OR O.quantity >= 3 ORDER BY O.order_date ASC LIMIT 500,1,3,2,159,0,1,1,500.0,500.0,2.4005
22,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id WHERE C.state = 'Nevada' OR O.total_amount > 1744.81,1,2,2,116,0,0,1,50000.0,50000.0,70.3899
23,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE C.state = 'Hawaii' AND P.category = 'Books' AND O.status = 'Completed' AND P.price >= 450.77,2,4,3,201,0,0,1,50000.0,40.25,32.6093
24,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id ORDER BY C.last_name ASC,2,0,3,127,0,1,1,50000.0,50000.0,368.4007
25,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id ORDER BY O.total_amount DESC,2,0,3,131,0,1,1,50000.0,50000.0,218.2502
26,SELECT * FROM Products WHERE price >= 1926.02 AND stock_quantity < 171 ORDER BY price ASC,0,2,1,89,0,1,1,158.0,52.6614,15.6302
27,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city, P.name, P.category FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE C.state = 'New Mexico' ORDER BY C.last_name DESC",2,1,3,245,0,1,1,50000.0,5000.0,90.9381
28,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city, P.name, P.category FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE P.price >= 1010.11 AND O.status = 'Pending' AND P.category = 'Electronics' AND C.city = 'Alexafort' LIMIT 500",2,4,3,306,0,0,1,50000.0,259.5,0.2197
29,"SELECT city, COUNT(*), GROUP_CONCAT(SUBSTRING(email, 1, 5)) FROM Customers GROUP BY city ORDER BY COUNT(*) DESC",0,0,1,111,1,1,1,10000.0,10000.0,12.0292
30,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id WHERE C.city = 'Alexton' OR C.state = 'Mississippi' OR O.total_amount > 406.93,1,3,2,142,0,0,1,50000.0,50000.0,106.0071
31,"SELECT total_amount, product_id FROM Orders WHERE order_date >= '2026-02-11' OR status = 'Pending' OR total_amount > 1211.64",0,3,1,124,0,0,0,50000.0,30000.0,36.5092
32,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE O.status = 'Cancelled' OR P.category = 'Electronics' OR P.price >= 342.2 OR C.state = 'Alaska',2,4,3,203,0,0,1,50000.0,50000.0,166.3887
33,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city, P.name, P.category FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id",2,0,3,190,0,0,1,50000.0,50000.0,88.1667
34,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city, P.name, P.category FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE O.order_date >= '2025-09-30' OR O.status = 'Completed' OR C.state = 'Maryland' ORDER BY P.price DESC LIMIT 10",2,3,3,306,0,1,1,50000.0,50000.0,80.5326
35,"SELECT name, description FROM Products LIMIT 10",0,0,1,47,0,0,0,4825.0,4825.0,0.1301
36,"SELECT C.state, P.category, SUM(O.total_amount), COUNT(O.id) FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id GROUP BY C.state, P.category",2,0,3,183,1,0,1,50000.0,50000.0,69.9017
37,SELECT * FROM Orders O JOIN Products P ON O.product_id = P.id WHERE P.rating >= 3.4,1,1,2,83,0,0,1,50000.0,16665.0,49.6802
38,SELECT * FROM Orders WHERE total_amount > 1010.11 OR order_date >= '2024-08-13' OR quantity > 1 ORDER BY quantity DESC LIMIT 50,0,3,1,127,0,1,0,50000.0,35185.0,12.4691
39,"SELECT status, quantity FROM Orders WHERE total_amount > 1828.64 AND order_date >= '2024-12-03' AND status = 'Completed'",0,3,1,120,0,0,0,50000.0,835.0,9.2771
40,"SELECT O.id, O.order_date, O.quantity, O.total_amount, P.name, P.category, P.price FROM Orders O JOIN Products P ON O.product_id = P.id WHERE O.quantity >= 1 OR P.category = 'Home & Kitchen' OR O.status = 'Refunded'",1,3,2,215,0,0,1,50000.0,50000.0,87.073
41,"SELECT price, category FROM Products WHERE rating >= 3.1 AND category = 'Electronics' AND price <= 1150.31 LIMIT 100",0,3,1,116,0,0,1,504.0,102.76559999999999,2.8173
42,"SELECT city, COUNT(*), GROUP_CONCAT(SUBSTRING(email, 1, 5)) FROM Customers GROUP BY city ORDER BY COUNT(*) ASC",0,0,1,110,1,1,1,10000.0,10000.0,12.4637
43,"SELECT id, stock_quantity, name, price FROM Products WHERE price >= 726.05 AND price <= 726.05 ORDER BY id DESC LIMIT 25",0,2,1,120,0,1,1,1.0,1.0,0.237
44,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city FROM Orders O JOIN Customers C ON O.customer_id = C.id WHERE O.order_date <= '2024-09-18' AND C.city = 'Aliciaberg'",1,2,2,192,0,0,1,5603.0,280.15000000000003,6.2569
45,"SELECT O.id, O.order_date, O.quantity, O.total_amount, P.name, P.category, P.price FROM Orders O JOIN Products P ON O.product_id = P.id WHERE O.status = 'Pending'",1,1,2,162,0,0,1,50000.0,5000.0,11.2358
46,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id LIMIT 250,2,0,3,112,0,0,1,50000.0,50000.0,1.3645
47,"SELECT C.state, COUNT(O.id), SUM(O.total_amount) FROM Orders O JOIN Customers C ON O.customer_id = C.id GROUP BY C.state ORDER BY SUM(O.total_amount) ASC",1,0,2,153,1,1,1,50000.0,50000.0,38.4999
48,SELECT * FROM Orders O JOIN Products P ON O.product_id = P.id WHERE P.category = 'Electronics' ORDER BY P.rating DESC,1,1,2,117,0,1,1,50000.0,5225.0,50.896
49,SELECT * FROM Orders O JOIN Products P ON O.product_id = P.id WHERE O.quantity >= 2 OR P.rating >= 3.4 ORDER BY P.price DESC,1,2,2,124,0,1,1,50000.0,50000.0,233.7769
50,"SELECT order_date, COUNT(*), SUM(total_amount), AVG(total_amount) FROM Orders GROUP BY order_date",0,0,1,97,1,0,1,50000.0,50000.0,35.8694
51,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city FROM Orders O JOIN Customers C ON O.customer_id = C.id WHERE C.city = 'Adamsmouth' OR C.state = 'Oklahoma' ORDER BY O.total_amount DESC LIMIT 10",1,2,2,221,0,1,1,50000.0,11430.0,17.6697
52,SELECT * FROM Customers WHERE email LIKE '%patricia.brown.4197%' AND state = 'Alaska' AND country = 'Morocco' ORDER BY city ASC,0,3,1,127,0,1,0,10000.0,11.0,3.051
53,SELECT * FROM Orders O JOIN Products P ON O.product_id = P.id WHERE O.quantity >= 2 LIMIT 10,1,1,2,92,0,0,1,50000.0,16665.0,0.2815
54,"SELECT status, quantity, customer_id, order_date FROM Orders WHERE status = 'Pending' AND quantity > 2 AND total_amount > 228.77 ORDER BY status ASC",0,3,1,148,0,1,0,50000.0,555.0,7.3602
55,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city FROM Orders O JOIN Customers C ON O.customer_id = C.id WHERE O.status = 'Shipped' OR C.city = 'Aaronborough' OR O.total_amount > 1510.18 ORDER BY C.last_name DESC LIMIT 250",1,3,2,249,0,1,1,50000.0,50000.0,43.2551
56,SELECT * FROM Orders WHERE order_date >= '2025-08-25' ORDER BY status DESC LIMIT 500,0,1,1,84,0,1,0,50000.0,25000.0,9.3828
57,SELECT * FROM Orders O JOIN Products P ON O.product_id = P.id WHERE P.category = 'Home & Kitchen' AND O.quantity >= 3,1,2,2,117,0,0,1,50000.0,1923.1409999999998,23.4818
58,"SELECT status, COUNT(*), SUM(total_amount), AVG(total_amount) FROM Orders GROUP BY status",0,0,1,89,1,0,0,50000.0,50000.0,16.8939
59,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE P.category = 'Health' OR P.price >= 547.86 OR O.order_date >= '2025-07-10' ORDER BY O.order_date ASC,2,3,3,209,0,1,1,50000.0,50000.0,182.5121
60,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id WHERE O.order_date <= '2026-03-30' OR C.city = 'Aarontown' OR O.status = 'Pending' LIMIT 100,1,3,2,156,0,0,1,50000.0,50000.0,11.6842
61,"SELECT O.id, O.order_date, O.quantity, O.total_amount, P.name, P.category, P.price FROM Orders O JOIN Products P ON O.product_id = P.id WHERE P.category = 'Clothing' AND O.quantity >= 4 AND P.rating >= 3.8 ORDER BY O.total_amount DESC",1,3,2,234,0,1,1,50000.0,833.25,17.0988
62,"SELECT O.id, O.order_date, O.quantity, O.total_amount, P.name, P.category, P.price FROM Orders O JOIN Products P ON O.product_id = P.id WHERE O.status = 'Pending' OR O.quantity >= 3 OR P.category = 'Books' LIMIT 10",1,3,2,214,0,0,1,50000.0,50000.0,0.2775
63,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city FROM Orders O JOIN Customers C ON O.customer_id = C.id WHERE C.city = 'Aguirrechester' OR O.status = 'Shipped' ORDER BY C.city ASC",1,2,2,207,0,1,1,50000.0,50000.0,43.845
64,SELECT * FROM Orders O JOIN Products P ON O.product_id = P.id WHERE O.status = 'Cancelled',1,1,2,90,0,0,1,50000.0,5000.0,11.5045
65,"SELECT O.id, O.order_date, O.quantity, O.total_amount, P.name, P.category, P.price FROM Orders O JOIN Products P ON O.product_id = P.id",1,0,2,135,0,0,1,50000.0,50000.0,85.4335
66,"SELECT name, id, price, category FROM Products WHERE price <= 745.65 AND rating >= 4.5 AND stock_quantity < 244 LIMIT 25",0,3,1,120,0,0,1,1890.0,209.97899999999998,3.074
67,SELECT * FROM Orders WHERE status = 'Cancelled' OR order_date >= '2026-04-07' OR total_amount > 1598.7 LIMIT 25,0,3,1,111,0,0,0,50000.0,30000.0,0.254
68,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city FROM Orders O JOIN Customers C ON O.customer_id = C.id WHERE O.total_amount > 1310.97 ORDER BY O.total_amount DESC",1,1,2,191,0,1,1,50000.0,16665.0,57.019
69,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE P.category = 'Books' OR P.price >= 614.48 OR O.order_date >= '2026-03-19' OR C.state = 'Tennessee',2,4,3,207,0,0,1,50000.0,50000.0,143.3492
70,SELECT * FROM Products WHERE stock_quantity < 75 AND rating >= 4.5 AND price >= 227.26 ORDER BY rating DESC,0,3,1,107,0,1,0,4825.0,494.56249999999994,11.5007
71,"SELECT status, customer_id, id, quantity FROM Orders WHERE order_date >= '2026-01-22' OR status = 'Completed' OR total_amount > 97.77 ORDER BY product_id ASC LIMIT 500",0,3,1,167,0,1,1,500.0,300.0,0.789
72,"SELECT product_id, customer_id, status, order_date FROM Orders WHERE order_date >= '2025-09-10' OR quantity > 1",0,2,1,111,0,0,0,50000.0,27775.0,34.844
73,"SELECT state, COUNT(*), GROUP_CONCAT(SUBSTRING(email, 1, 5)) FROM Customers GROUP BY state",0,0,1,90,1,0,0,10000.0,10000.0,6.9318
74,SELECT * FROM Orders O JOIN Products P ON O.product_id = P.id WHERE O.quantity >= 1 AND P.price <= 519.6,1,2,2,104,0,0,1,50000.0,4507.882500000001,36.9591
75,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id,2,0,3,102,0,0,1,50000.0,50000.0,184.6032
76,"SELECT total_amount, quantity, order_date, customer_id FROM Orders",0,0,1,66,0,0,0,50000.0,50000.0,90.8058
77,"SELECT city, created_at, id, email FROM Customers WHERE state = 'Connecticut' LIMIT 50",0,1,1,86,0,0,0,10000.0,1000.0,2.6607
78,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city, P.name, P.category FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE P.category = 'Sports' ORDER BY O.order_date DESC LIMIT 250",2,1,3,255,0,1,1,2446.0,249.98120000000003,11.0395
79,"SELECT category, COUNT(*), AVG(price), MIN(price), MAX(price), AVG(rating) FROM Products GROUP BY category ORDER BY AVG(price) ASC LIMIT 50",0,0,1,139,1,1,1,4825.0,4825.0,4.5156
80,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE O.status = 'Cancelled' OR C.city = 'Aaronbury' OR O.order_date >= '2025-07-15' ORDER BY P.price DESC LIMIT 25,2,3,3,218,0,1,1,50000.0,50000.0,106.6549
81,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id WHERE O.total_amount > 1813.11 OR C.city = 'Alexanderside' OR C.state = 'Illinois' ORDER BY O.order_date ASC,1,3,2,172,0,1,1,50000.0,50000.0,81.4213
82,SELECT * FROM Orders O JOIN Products P ON O.product_id = P.id ORDER BY O.total_amount DESC LIMIT 250,1,0,2,100,0,1,1,50000.0,50000.0,24.45
83,SELECT * FROM Orders O JOIN Products P ON O.product_id = P.id WHERE O.status = 'Pending' ORDER BY O.order_date ASC,1,1,2,114,0,1,1,50000.0,5000.0,20.1997
84,"SELECT quantity, status FROM Orders ORDER BY order_date DESC",0,0,1,60,0,1,0,50000.0,50000.0,32.2222
85,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city, P.name, P.category FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE C.city = 'Allenberg' AND P.category = 'Clothing' ORDER BY P.price ASC",2,2,3,266,0,1,1,50000.0,4985.000000000001,6.5796
86,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city, P.name, P.category FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE C.state = 'New York'",2,1,3,217,0,0,1,50000.0,5000.0,54.3158
87,"SELECT customer_id, order_date, total_amount, quantity FROM Orders WHERE status = 'Pending'",0,1,1,91,0,0,0,50000.0,5000.0,7.6965
88,"SELECT price, rating, stock_quantity, description FROM Products WHERE category = 'Clothing' OR price <= 881.18",0,2,1,110,0,0,0,4825.0,1930.0,3.474
89,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city FROM Orders O JOIN Customers C ON O.customer_id = C.id WHERE O.status = 'Cancelled' AND O.order_date <= '2025-01-27' ORDER BY O.order_date DESC LIMIT 250",1,2,2,230,0,1,1,25000.0,2500.0,2.9826
90,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city, P.name, P.category FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id ORDER BY O.order_date DESC",2,0,3,217,0,1,1,50000.0,50000.0,85.9852
91,"SELECT C.id, COUNT(O.id), SUM(O.total_amount) FROM Orders O JOIN Customers C ON O.customer_id = C.id GROUP BY C.id",1,0,2,114,1,0,1,50000.0,50000.0,54.0175
92,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city, P.name, P.category FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE P.price >= 1228.71 ORDER BY O.order_date DESC",2,1,3,242,0,1,1,50000.0,19200.0,52.3295
93,"SELECT country, COUNT(*), GROUP_CONCAT(SUBSTRING(email, 1, 5)) FROM Customers GROUP BY country LIMIT 25",0,0,1,103,1,0,0,10000.0,10000.0,8.2653
94,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE C.state = 'Illinois' AND O.order_date >= '2025-08-25' LIMIT 50,2,2,3,171,0,0,1,25000.0,2500.0,4.5259
95,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE O.order_date >= '2024-11-27' OR O.status = 'Refunded' OR P.category = 'Toys' OR P.price >= 474.96 LIMIT 500,2,4,3,216,0,0,1,50000.0,50000.0,2.066
96,"SELECT id, category, stock_quantity, rating FROM Products WHERE category = 'Home & Kitchen' OR stock_quantity < 196 OR price <= 1813.11 ORDER BY stock_quantity DESC",0,3,1,164,0,1,0,4825.0,2895.0,5.5739
97,"SELECT O.id, O.order_date, O.quantity, O.total_amount, P.name, P.category, P.price FROM Orders O JOIN Products P ON O.product_id = P.id WHERE P.category = 'Garden' AND P.rating >= 3.7 AND O.status = 'Cancelled'",1,3,2,210,0,0,1,50000.0,250.0,9.7012
98,"SELECT O.id, O.order_date, O.quantity, O.total_amount, P.name, P.category, P.price FROM Orders O JOIN Products P ON O.product_id = P.id WHERE O.quantity >= 4 OR P.category = 'Garden' ORDER BY O.order_date DESC LIMIT 100",1,2,2,219,0,1,1,100.0,100.0,0.6381
99,SELECT * FROM Orders WHERE total_amount > 1583.73 AND status = 'Pending' LIMIT 500,0,2,1,82,0,0,0,50000.0,1665.0000000000002,1.6844
100,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id WHERE C.state = 'Louisiana' ORDER BY C.city ASC,1,1,2,111,0,1,1,50000.0,5000.0,39.8345
101,"SELECT status, total_amount, quantity, id FROM Orders WHERE order_date >= '2025-10-26' ORDER BY status DESC LIMIT 10",0,1,1,116,0,1,0,50000.0,25000.0,7.3212
102,SELECT * FROM Orders WHERE total_amount > 1953.71 ORDER BY order_date DESC,0,1,1,74,0,1,0,50000.0,16665.0,52.6997
103,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id LIMIT 25,1,0,2,72,0,0,1,50000.0,50000.0,1.4379
104,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id WHERE C.city = 'Aarontown' OR O.total_amount > 1078.82 OR O.status = 'Shipped' LIMIT 250,1,3,2,152,0,0,1,50000.0,50000.0,0.928
105,"SELECT rating, description FROM Products WHERE price >= 428.89",0,1,1,62,0,0,0,4825.0,3916.9350000000004,3.1279
106,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city FROM Orders O JOIN Customers C ON O.customer_id = C.id ORDER BY O.total_amount DESC LIMIT 50",1,0,2,169,0,1,1,50000.0,50000.0,15.8955
107,SELECT * FROM Products WHERE price >= 1211.64 ORDER BY stock_quantity ASC,0,1,1,73,0,1,0,4825.0,1894.7775000000001,4.6141
108,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city, P.name, P.category FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE O.order_date >= '2026-05-28' OR C.city = 'Alecton' ORDER BY O.order_date DESC",2,2,3,274,0,1,1,50000.0,50000.0,62.8735
109,"SELECT customer_id, id, product_id FROM Orders WHERE order_date >= '2024-09-18' LIMIT 250",0,1,1,89,0,0,1,25000.0,25000.0,1.7102
110,"SELECT email, id FROM Customers WHERE country = 'Namibia' OR city = 'Alexfurt'",0,2,1,78,0,0,0,10000.0,2286.0,1.9423
111,"SELECT O.id, O.order_date, O.quantity, O.total_amount, P.name, P.category, P.price FROM Orders O JOIN Products P ON O.product_id = P.id WHERE P.price <= 183.87 OR O.status = 'Shipped'",1,2,2,183,0,0,1,50000.0,50000.0,33.8107
112,"SELECT O.id, O.order_date, O.quantity, O.total_amount, P.name, P.category, P.price FROM Orders O JOIN Products P ON O.product_id = P.id WHERE P.category = 'Health' OR O.quantity >= 3 LIMIT 10",1,2,2,191,0,0,1,50000.0,50000.0,0.8933
113,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city, P.name, P.category FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE O.status = 'Completed' OR P.price >= 745.68 ORDER BY O.order_date ASC",2,2,3,266,0,1,1,50000.0,50000.0,80.9573
114,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city, P.name, P.category FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE C.city = 'Aaronchester'",2,1,3,220,0,0,1,50000.0,50000.0,9.7684
115,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city, P.name, P.category FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id ORDER BY C.last_name DESC",2,0,3,216,0,1,1,50000.0,50000.0,179.7013
116,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id WHERE O.total_amount > 926.78 OR C.state = 'Michigan' ORDER BY C.city ASC,1,2,2,137,0,1,1,50000.0,50000.0,189.0113
117,"SELECT rating, description FROM Products WHERE price >= 1910.86 OR stock_quantity < 203",0,2,1,87,0,0,0,4825.0,2680.2875,8.3163
118,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id WHERE O.order_date <= '2026-05-28' AND C.state = 'Louisiana' AND O.status = 'Refunded' ORDER BY O.order_date DESC LIMIT 25,1,3,2,186,0,1,1,25000.0,250.0,32.2055
119,"SELECT O.id, O.order_date, O.quantity, O.total_amount, P.name, P.category, P.price FROM Orders O JOIN Products P ON O.product_id = P.id WHERE P.price <= 617.7 AND O.quantity >= 4",1,2,2,178,0,0,1,50000.0,5387.7945,16.8096
120,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id WHERE O.order_date <= '2024-07-27' AND O.status = 'Pending' LIMIT 10,1,2,2,132,0,0,1,1937.0,193.70000000000002,0.5929
121,"SELECT O.id, O.order_date, O.quantity, O.total_amount, P.name, P.category, P.price FROM Orders O JOIN Products P ON O.product_id = P.id WHERE O.quantity >= 2",1,1,2,157,0,0,1,50000.0,16665.0,73.0997
122,"SELECT O.id, O.order_date, O.total_amount, C.first_name, C.last_name, C.city, P.name, P.category FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE P.price >= 450.77 OR O.status = 'Cancelled' OR C.city = 'Aaronfurt' OR C.state = 'Illinois'",2,4,3,288,0,0,1,50000.0,50000.0,104.6396
123,SELECT * FROM Orders O JOIN Customers C ON O.customer_id = C.id JOIN Products P ON O.product_id = P.id WHERE P.price >= 1510.18 AND O.order_date >= '2025-05-02' AND O.status = 'Completed' ORDER BY C.last_name ASC LIMIT 500,2,3,3,222,0,1,1,50000.0,612.5,36.8603
124,"SELECT O.id, O.order_date, O.quantity, O.total_amount, P.name, P.category, P.price FROM Orders O JOIN Products P ON O.product_id = P.id WHERE P.category = 'Garden' AND P.rating >= 3.8 AND P.price <= 881.18",1,3,2,205,0,0,1,50000.0,2500.0,32.3156
125,"SELECT rating, name FROM Products WHERE rating >= 3.6 OR stock_quantity < 313 ORDER BY category ASC",0,2,1,99,0,1,0,4825.0,2680.2875,4.836
126,"SELECT city, id, country, last_name FROM Customers WHERE email LIKE '%peter.wallace.1491%' OR city = 'Aguirreland' OR state = 'Tennessee' ORDER BY city DESC",0,3,1,156,0,1,0,10000.0,3143.0000000000005,3.6721
127,"SELECT id, order_date, quantity FROM Orders WHERE order_date >= '2024-11-02' OR status = 'Refunded' ORDER BY order_date DESC",0,2,1,124,0,1,0,50000.0,20000.0,42.2692
128,"SELECT O.id, O.order_date, O.quantity, O.total_amount, P.name, P.category, P.price FROM Orders O JOIN Products P ON O.product_id = P.id WHERE P.price <= 428.89 OR O.quantity >= 4 OR O.status = 'Pending' ORDER BY O.total_amount DESC LIMIT 250",1,3,2,241,0,1,1,50000.0,50000.0,20.2989
